0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
allpurpose flour,ground ginger,cinnamon,sticks   unsalted butter,softened,packed light brown sugar,blackstrap molasses ,boilinghot water,baking soda,eggs,lightly beaten,Accompaniment  lightly sweetened whipped cream,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 oz stem ginger in syrup ,drained,reserving  syrup,and coarsely    or see cooks ' note,below, allpurpose flour,sticks   unsalted butter,softened, salt, packed dark brown sugar,eggs,separated,Special equipment    by  by inch  loaf pan,or see cooks ' note,below,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 all purpose flour,ground ginger,ground cinnamon,baking soda, ground cloves, salt, sticks  unsalted butter,,  packed  golden brown sugar,eggs,mildflavored  light  molasses, stout  beer ,flat,,chilled whipping cream,powdered sugar,crystallized ginger,Orange slices,quartered,Crystallized ginger slices,Fresh cranberries,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
pecans,toasted and fine, gingersnap cookie crumbs  from about eight inch gingersnaps , firmly packed light brown sugar, stick    unsalted butter,melted, allpurpose flour, baking soda, ground ginger, cinnamon, salt, unsulfured molasses, buttermilk, granulated sugar, stick   unsalted butter,softened,egg,beaten lightly,wellchilled heavy cream,vanilla extract,granulated sugar,strawberries,fresh lemon juice, strawberries,with leaves and blossoms if desired  not recommended for eating ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
eggs,egg yolks, sugar, fresh lime juice, lime peel  from about  limes ,fresh ginger,Pinch of salt,  stick  unsalted butter,into pieces,,sifted cake flour  sifted,then measured ,baking soda,salt,  sticks  unsalted butter,,sugar,eggs,buttermilk,,Bamboo skewers, sugar,egg whites, water,light corn syrup, cream of tartar,vanilla extract,ounce package sweetened flaked coconut  about ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
  stick  unsalted butter,,plus more for pan, allpurpose flour plus more for pan,dried tart cherries  about ,finely, finely crystallized ginger,finely ginger,Dijon mustard,hot espresso or very strong coffee,ground ginger,baking soda, kosher salt,ground allspice,ground cinnamon, freshly ground black pepper,  packed  dark brown sugar,eggs,mildflavored  light  molasses,Luscious Chocolate Icing  optional ,Special equipment  A cup Bundt pan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cola, baking soda,mildflavored  light  molasses,all purpose flour,ground ginger, baking powder, ground cinnamon, ground cloves, ground nutmeg, salt, packed  dark brown sugar, vegetable oil,eggs,water, honey, sugar, whole cloves,cinnamon sticks,broken in half,vanilla bean,split lengthwise, kumquats,into inchthick rounds,seeded,  packed  dark brown sugar, plus whipping cream,ounce packages cream cheese,,   sticks  unsalted butter,,vanilla extract,pecans,toasted,, crystallized ginger,nan,nan,nan,nan,nan,nan,nan
Guinness stout or dark beer,mildflavored  light  molasses, baking soda,all purpose flour,ground ginger, baking powder, ground cinnamon, ground cloves, ground nutmeg, ground cardamom,eggs, sugar,  packed  dark brown sugar, vegetable oil,fresh ginger,finely pistachios,light corn syrup,sugar,ounce packages cream cheese,,  stick  unsalted butter,, finely orange peel,powdered sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 allpurpose flour,baking powder,finely fresh lemon zest, salt,sticks   unsalted butter,softened, granulated sugar,eggs,poppy seeds, confectioners sugar,fresh lemon juice,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sugar,eggs, vegetable oil, pear vinegar or white wine vinegar,all purpose flour,ground cinnamon, baking powder,baking soda, salt, Bosc pears  about very ,,cored,into  to inch pieces,toasted pecan pieces, dried pear  about ,pear nectar,whipping cream,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
unsalted butter,plus more for pan, blanched almonds  about  ,divided,apricots,divided, kosher salt, plus sugar,divided,eggs,vanilla extract, allpurpose flour  regular or glutenfree , baking powder,amaretto  optional ,heavy cream,A inch cake pan  preferably lightcolored metal ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Nonstick vegetable oil spray, unsweetened cocoa powder,unsalted,roasted almonds,plus,oz  bittersweet or semisweet chocolate      cacao ,coarsely, olive oil,kosher salt, granulated sugar,divided,eggs,separated, cream of tartar,raw sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 red potatoes, stick   unsalted butter,softened, sour cream,goat cheese  preferably aged  about  ,if aged or forced through a grater if soft,eggs,fresh thyme leaves,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Unsalted butter  for pan , sugar plus more for pan, fresh soft goat cheese,,finely lemon zest,fresh lemon juice,vanilla extract,eggs,separated,allpurpose flour, berries  blackberries,strawberries,blueberries,andor raspberries ,Special equipment  A '' diameter springform pan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 cake flour  not selfrising ,baking powder, baking soda,salt,sticks   unsalted butter,softened,sugar,eggs,vanilla,sour cream,Chocolate sour cream frosting, brown sugar buttercream,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
unsalted butter or ghee,russet potatoes,,very thinly,Flaky sea salt,Freshly ground white or black pepper,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cake flour,baking powder,ground cinnamon, ground allspice, baking soda, salt, Apricot Puree, canned solid pack pumpkin, buttermilk,   sticks  unsalted butter,, sugar,eggs,,vanilla extract, cream cheese,, powdered sugar, Apricot Puree, canned solid pack pumpkin, ground cinnamon, ground allspice,Dried apricot cutouts  optional ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Nonstick vegetable oil spray, allpurpose flour,baking powder, kosher salt,plus more,finely grapefruit zest,granulated sugar,eggs,, vegetable oil,vanilla extract, plus plain Greek yogurt,fresh grapefruit juice,divided,poppy seeds,plus more for sprinkling, powdered sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 packed light brown sugar, fresh lemon juice, water, inchthick  slices fresh ginger,smashed, pineapple,trimmed,,and halved lengthwise, inchthick  slices coconut cake,pt premium ice cream  vanilla,banana,or mango ,mangoes,,pitted,and lengthwise into inch pieces,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 heavy  whipping  cream,confectioners ' sugar, ground cinnamon,tequila  preferably gold ,slices cake  each  inch thick ,to unsalted butter,melted,Pineapple  Salsa '',fresh mint sprigs,for,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Guinness stout,molasses, baking soda,eggs, granulated sugar, firmly packed dark brown sugar, grapeseed or vegetable oil,allpurpose flour,ground ginger, baking powder, ground cinnamon, ground cloves, freshly nutmeg, ground cardamom,,fresh gingerroot,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
  stick  unsalted butter,,plus more,allpurpose flour,plus more, blanched hazelnuts,granulated sugar,divided,baking powder, kosher salt,eggs,raw or granulated sugar, granulated sugar,light corn syrup, heavy cream,unsalted butter, flaky sea salt  such as Maldon ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Nonstick vegetable oil spray, blanched slivered almonds  about  ,toasted, hazelnuts  about ,toasted,sugar, cake flour,egg whites, bittersweet  not unsweetened  or semisweet chocolate,,whipping cream,chilled whipping cream, sugar, plus amaretto or other almond liqueur, hazelnuts,toasted,husked, about , finely semisweet chocolate  about ,Unsweetened cocoa powder,Powdered sugar,Fresh raspberries and blackberries,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sugar, allpurpose flour, Hershey 's Cocoa powder, baking powder, baking soda,salt,eggs,milk, vegetable oil,vanilla extract,boiling water, butter, Hershey 's Cocoa Powder,powdered sugar, milk,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 Cognac or other brandy, golden raisins, currants, dried apricots,finely, dried cranberries, whole blanched almonds plus  for top of cake  ouncecs total ,sugar,divided,allpurpose flour,baking powder, salt, sticks unsalted butter,softened,eggs,pure vanilla extract,orange zest,sweet orange marmalade or apricot preserves,orangeflavored liqueur,Equipment  a inch springform pan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
all purpose flour, ground cinnamon,ground ginger,teaspoon baking soda, salt, ground cloves, honey, sugar, vegetable oil,eggs, boiling water,raisins,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
finequality bittersweet chocolate  not unsweetened ,,stick unsalted butter,softened, sugar,eggs,separated, cake flour  not selfrising , unsweetened cocoa powder, salt, cream of tartar, apricot jam,melted and strained, heavy cream,oz finequality bittersweet chocolate  not unsweetened ,finely in a food processor,heavy cream, oz finequality bittersweet chocolate  not unsweetened ,finely in a food processor,unflavored gelatin,cold water,chilled heavy cream,confectioners sugar,vanilla,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chocolate wafer crumbs, blanched almonds,toasted lightly,cooled completely,and ground fine, stick    unsalted butter,melted and cooled, sugar,ground fresh coffee,envelope of unflavored gelatin,eggs,separated,the whites, plus sugar, heavy cream,vanilla extract, ground cinnamon,heavy cream,kahla,sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 walnuts  , sugar,unsalted butter,into pieces, finely fresh lemon zest,egg,allpurpose flour,lemon,sugar,water,mild honey,Special equipment  a  to ounce gratin dish or ramekin,Accompaniment  wholemilk yogurt  preferably Greek ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
All ingredients should be ,sifted cake flour  do n't use selfrising flour ,plus more for dusting, baking powder,freshly nutmeg, ground clove,ground cinnamon,Pinch of salt, unsalted butter  sticks ,plus more for greasing, sugar,eggs,egg yolks,lightly beaten,vanilla extract,sifted confectioners ' sugar  for,optional ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 allpurpose flour,cinnamon, baking soda, salt,stick    unsalted butter,softened, plus packed light brown sugar, plus granulated sugar,egg, vanilla,coarsely carrots  medium ,scant walnuts  ,, raisins   ,cream cheese, honey,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
eggs, sugar, semisweet chocolate,, chilled whipping cream, Irish cream liqueur, sugar,water,Irish whiskey,eggs, plus sugar,instant espresso powder or coffee powder,Pinch of salt,all purpose flour,  x inch waxed paper strips,semisweet chocolate,,plus solid vegetable shortening, ounce squares semisweet baking chocolate,Powdered sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 unbleached allpurpose flour  spoon flour into drymeasure and level off  plus,baking powder, baking soda, salt, stick  unsalted butter,softened, sugar,egg,, currants, golden raisins, buttermilk or milk,One inchdeep inch round cake pan,buttered and bottom lined with parchment or wax paper,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   grams  plus sugar,unsalted butter,melted,eggs, liter  milk,vanilla bean,split down its length,Pinch of sea salt, plus   grams  semolina, freshly nutmeg,   grams  raisins,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Three inch round cake pans,greased and bottoms lined with parchment paper circles,     allpurpose flour,baking soda,ground cinnamon, ground nutmeg, ground cloves,fine sea salt,     jam,preferably blackberry,raspberry,or apricot, buttermilk,,   unsalted butter,,     sugar,eggs,,  natural almonds,toasted,Caramel Chocolate Ganache,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 whole wheat pastry or spelt flour,baking powder,baking soda,cinnamon, ground ginger, ground cloves or allspice,dark agave nectar or pure maple syrup,or half of each,applesauce, safflower oil,vanilla extract, dark or golden raisins, almonds,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sweetened flaked coconut,stick unsalted butter,softened, granulated sugar,Key lime zest,eggs, selfrising flour, whole milk, fresh Key lime juice,divided,confectioners sugar,rum  optional ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
  g  allpurpose flour,  g  superfine granulated sugar,tsp  g  fleur de sel de Gurande  or other fine sea salt ,Finely zest of  unwaxed lemon, tsp  g  active dry yeast,eggs   g ,  g  orangeflower water,tsp   g  aged dark rum, oz   g  candied orange peel,stick plus   g  unsalted butter,dried lima bean,egg yolk,whole eggs,dashes superfine granulated sugar,Dash of table salt,Apricot jelly or preserve,Number  pearl sugar  coarse sugar ,quarters each of candied red and green melon,Candied orange slices,Coarsely almonds,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 rum, raisins,allpurpose flour,cinnamon,ground cloves,baking soda, freshly nutmeg, salt,stick    unsalted butter,softened,granulated sugar, packed light brown sugar,eggs,applesauce,pecans or walnuts,toasted,cooled and coarse,confectioners ' sugar for dusting,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sticks   unsalted butter,softened,sugar,vanilla extract, almond extract,allpurpose flour,doubleacting baking powder, salt,milk,egg whites, cream of tartar,sugar, water,egg whites,vanilla extract, finely dried figs plus dried figs for,pecans,toasted lightly and fine,plus pecan halves for, raisins,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 crme de cacao, apricot brandy, heavy cream,Maraschino cherry,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 cake flour, salt, baking powder, baking soda,   sticks  unsalted butter,,sugar, fresh lemon juice, packed  lemon peel,eggs,plus buttermilk, fresh blueberries, goodquality white chocolate  such as Lindt or Baker  s ,finely, cream cheese,,   sticks  unsalted butter,,fresh lemon juice,Additional blueberries  optional ,Lemon slices  optional ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 cake flour  not selfrising ,baking powder, salt,stick    unsalted butter,softened, sugar,eggs, whole milk,finely fresh lemon zest,fresh lemon juice,blueberry filling,lemon ice cream, blueberries,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Nonstick vegetable oil spray, allpurpose flour,baking powder, kosher salt,finely lemon zest, sugar,eggs,, vegetable oil,vanilla extract, plain whole milk yogurt,fresh lemon juice, sugar,blueberries,unflavored powdered gelatin, powdered sugar,fresh lemon juice,blueberries,finely lemon zest,A x '' loaf pan  preferably metal ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 sticks  unsalted butter,plus more for greasing,, sugar, allpurpose flour,plus more for dusting, baking soda, salt, buttermilk,lemon zest,lemon juice,eggs,, confectioners ' sugar,plus more as needed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
  packed  powdered sugar,sifted, or more  fresh lemon Juice, all purpose flour, yellow cornmeal, sugar, baking powder, salt,buttermilk,eggs,finely lemon peel, vanilla extract,  stick  unsalted butter,melted,cooled,CrushedBlueberry Sauce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
frozen unsweetened raspberries,thawed,sugar,cornstarch,   sticks  unsalted butter,, sugar,eggs, cake flour,baking powder, salt, yellow cornmeal,lemon peel,lemon extract,chilled whipping cream,sugar,lemon extract,lemon peel, almonds,toasted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
